timestamp,symbol,portfolio_value,cash,positions
1000000000000000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000003000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000006000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000008000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000011000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000012000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000013000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000014000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000021000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000023000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000028000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000029000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000031000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000033000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000035000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000036000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000039000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000040000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000043000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000046000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000050000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000051000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000053000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000055000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000060000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000065000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000068000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000070000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000072000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
1000000000081000000,AAPL,1000000.0,1000000.0,{'AAPL': None}
